id,Name,ModelName,EntryId,Category,ToolType,ToolPower,IconRUID,PlacedTileName,Rarity,Tradable,Description,WeaponRUID,SwingAction,WeaponSlot,TerrainEditAction,UseUnlockId,UseBuffId,PreviewRUID,FurnitureKind,IsCurrency,UseAnimalId,UsePetId,TerrainEditCooldown,SwingSoundRUID,HitSoundRUID,AvoidRadius,AvoidExitRadius,ActiveDurationSec
wood,Wood,Item_Wood,2cb8f37e-ef6b-4e17-86fb-d940f18a7412,resource,,0,b952164321fd4c9c94cb0d3e7c73b182,,Common,true,A flexible wooden branch. Useful for crafting basic tools.,,,,,,,,,,,,,,,,,
stone,Stone,Item_Stone,05fa541a-a48d-4f36-bf82-0c60784a4a53,resource,,0,5ed8bdcf520044c0a1660873beb30b10,,Common,true,A common stone found in the wild. Used in crafting tools and buildings.,,,,,,,,,,,,,,,,,
copper ore,Copper Ore,Item_CopperOre,3484bbf6-1973-4b23-a720-9d1b0754aa6f,resource,,0,914eb87802b64924b5f78bb97a55faeb,,Common,true,A chunk of copper ore. Can be smelted into copper bars.,,,,,,,,,,,,,,,,,
grass,Grass,Item_Grass,896c7bd8-8a8a-48a8-a7c7-fc8c337c2a9b,resource,,0,f0bce7f800f140559f35a12a93de9c9e,,Common,true,Soft wild grass. Can be used for binding or insulation.,,,,,,,,,,,,,,,,,
hand_axe,Hand Axe,Item_HandAxe,8fdc2947-7735-4aa3-90ad-208438aeb809,tool,axe,0,thumbnail://384de1d5a70747a4b356484cf2753b5f,,Common,true,A crude stone gripped in the fist. The most primitive way to fell a tree.,384de1d5a70747a4b356484cf2753b5f,swingO1,,,,,,,,,,,cc4775e4fe504321b1b42e7427cca089,d477416e1af84d8386291b5660851d2d,,,
stone_pickaxe,Stone Pickaxe,Item_StonePickaxe,0f6274e2-70fd-409b-8a20-7999c099c721,tool,pickaxe,2,428577ffb2964719b8ab0bb18e5171e1,,Common,true,A sturdy stone pickaxe. Ideal for mining large stones.,18a44a9f39a94633b56902492e5b7da6,swingT1,twohand,,,,,,,,,,dfed94ccf55e419bb8f1a447505f2b8a,b097e12f762a43ad84b2288baf57331e,,,
stone_axe,Stone Axe,Item_StoneAxe,08cec3b5-eaaa-4b36-9957-0e96f0708161,tool,axe,2,2e0751aabbb14ccf85cfb99c024511c9,,Common,true,An upgraded axe. Efficiently cuts down trees.,096fabc5a35e426db5912ec35e77a769,swingO2,,,,,,,,,,,cc4775e4fe504321b1b42e7427cca089,d477416e1af84d8386291b5660851d2d,,,
wooden_chest,Wooden Chest,Item_WoodenChest,ebd82997-e2b7-4a6f-b3cc-0dc9380e529b,furniture,,0,22e9f409617b4e4180f9c92fb26b13f7,,Common,true,A simple chest to store your extra materials.,,,,,,,,,,,,,,,,,
furnace,Furnace,Item_Furnace,f2d3a4b5-67c8-49d0-bfd1-ebd3c4a2a1b9,furniture,,0,8cb667c940834bb9b19c11ae242a0aa1,,Uncommon,true,A stone furnace used to smelt ores into metal bars.,,,,,,,a3b810b8178847a0b9ec54bc4b63ba96,,,,,,,,,,
iron_ore,Iron Ore,Item_IronOre,71d8820c-c72e-4b2a-b7a4-ef8b337c2a01,resource,,0,79f438d0427142f09f979b58e982b1bd,,Uncommon,true,A chunk of iron ore. Can be smelted into iron bars.,,,,,,,,,,,,,,,,,
copper_bar,Copper Bar,Item_CopperBar,1234cdef-5678-4321-abcd-ef1234567890,resource,,0,d7429bc723034933b9b51de9b6b912fc,,Uncommon,true,A refined bar of pure copper. Used for mid-tier crafting.,,,,,,,,,,,,,,,,,
iron_bar,Iron Bar,Item_IronBar,9876fedc-5432-1234-abcd-ef9876543210,resource,,0,7ac77c77fdc0480080303b2dc0b96c35,,Rare,true,A refined bar of strong iron. Used for high-tier crafting.,,,,,,,,,,,,,,,,,
wood_floor,Wood Floor,Item_WoodFloor,a0123456-789a-bcde-f012-3456789abcde,furniture,,0,222a3bc317844763ab817f9f0553a26e,Baram_167,Common,true,A wooden floor tile for building structures.,,,,,,,,,,,,,,,,,
portal,Portal,Item_Portal,f9d3a4b5-67c8-49d0-bfd1-ebd3c4a2a1a0,furniture,,0,aba58d2139ca4736bab39f6b4c39aa37,,Epic,false,A magical portal structure that teleports you to another map.,,,,,,,,portal,,,,,,,,,
copper_pickaxe,Copper Pickaxe,Item_CopperPickaxe,0f6274e2-70fd-409b-8a20-7999c099c721,tool,pickaxe,3,thumbnail://1d9a1f0f8a004cce8938dff567313743,,Uncommon,true,A refined copper pickaxe. Efficient for mining ores.,1d9a1f0f8a004cce8938dff567313743,swingT1,twohand,,,,,,,,,,dfed94ccf55e419bb8f1a447505f2b8a,b097e12f762a43ad84b2288baf57331e,,,
copper_axe,Copper Axe,Item_CopperAxe,08cec3b5-eaaa-4b36-9957-0e96f0708161,tool,axe,3,thumbnail://233fd0760c124458b57928542f77bdc2,,Uncommon,true,A refined copper axe. Efficient for chopping trees.,233fd0760c124458b57928542f77bdc2,swingO2,,,,,,,,,,,cc4775e4fe504321b1b42e7427cca089,d477416e1af84d8386291b5660851d2d,,,
iron_pickaxe,Iron Pickaxe,Item_IronPickaxe,0f6274e2-70fd-409b-8a20-7999c099c721,tool,pickaxe,5,thumbnail://54a842df20b94f37b0d7bdbc0c1d2acd,,Rare,true,A sturdy iron pickaxe. Required for high-tier mining.,54a842df20b94f37b0d7bdbc0c1d2acd,swingT1,twohand,,,,,,,,,,dfed94ccf55e419bb8f1a447505f2b8a,b097e12f762a43ad84b2288baf57331e,,,
iron_axe,Iron Axe,Item_IronAxe,08cec3b5-eaaa-4b36-9957-0e96f0708161,tool,axe,5,thumbnail://963cde7d88654f4a94b045e035ca1cae,,Rare,true,A sturdy iron axe. Required for high-tier chopping.,963cde7d88654f4a94b045e035ca1cae,swingO2,,,,,,,,,,,cc4775e4fe504321b1b42e7427cca089,d477416e1af84d8386291b5660851d2d,,,
